@relation cone

@attribute X real
@attribute Y real
@attribute Inside {0, 1}

@data
6.129079887,2.525697859,1
4.1649807,2.090828435,1
8.046423017,2.886621761,1
5.901764017,2.47935465,1
1.467932996,1.261582847,1
7.69728998,2.82439903,1
2.909487392,1.755721956,1
5.482051922,2.39137821,1
3.421408556,1.899704992,1
2.188877676,1.529485612,1
9.379436287,3.112586535,1
2.187969174,1.529178547,1
6.123937021,2.524658971,1
0.486661753,0.747611463,1
5.630738841,2.422917791,1
1.990392909,1.460812854,1
6.922984548,2.681156504,1
7.923151252,2.864809275,1
5.586232037,2.41352111,1
9.245398707,3.090624723,1
1.670278263,1.342392457,1
9.462398387,3.126101167,1
2.154569573,1.517845214,1
5.783450663,2.454880592,1
3.193252798,1.836967486,1
9.597262229,3.14794484,1
9.1983687,3.082881254,1
0.758327011,0.920819735,1
2.929262259,1.761508767,1
6.206543802,2.5412936,1
4.385206645,2.1440885,1
9.151809622,3.075195799,1
5.044927487,2.296091602,1
2.760345394,1.711428721,1
9.440994561,3.122620146,1
8.665687165,2.993753924,1
5.046207551,2.296376538,1
7.153349558,2.72457465,1
3.260261039,1.855619295,1
4.253082163,2.112300212,1
5.663388465,2.429787483,1
8.111751427,2.898113661,1
1.885087441,1.422984866,1
0.168986059,0.46107914,1
2.412335197,1.603169404,1
5.670340079,2.431247589,1
4.734380089,2.225863068,1
9.409240486,3.11744853,1
6.392904416,2.578419351,1
